biuro_nazwa;biuro_ogolem;biuro_WPF;biuro_pozostale;dzial_nazwa;dzial_WPF;dzial_pozostale;dzials_nazwa;dzials_WPF;dzials_pozostale;zadanie_num;zadanie_tresc;zadanie_WPF;zadanie_pozostale
"Zarz ą d Dróg i Transportu ";850.282.120;808.173.794;42.108.326;"600 Transport i ł ą czno ść ";807.087.653;39.923.463;"60015 Drogi publiczne w miastach na prawach powiatu (w ";805.987.653;32.575.492;2163972;"Budowa syganlizacji ś wietlnej - ul. Brzezi ń ska na wysoko ś ci 0 ul. Hiacyntowej i ul. Tatarkiewicza";0;761.000
"Zarz ą d Dróg i Transportu ";850.282.120;808.173.794;42.108.326;"600 Transport i ł ą czno ść ";807.087.653;39.923.463;"60015 Drogi publiczne w miastach na prawach powiatu (w ";805.987.653;32.575.492;2163982;"Niwelacja kraw ęŜ ników na drogach rowerowych 0 ";0;105.000
"Zarz ą d Dróg i Transportu ";850.282.120;808.173.794;42.108.326;"600 Transport i ł ą czno ść ";807.087.653;39.923.463;"60015 Drogi publiczne w miastach na prawach powiatu (w ";805.987.653;32.575.492;2163992;"Budowa chodnika wzdłu Ŝ ul. Kolumny 0 ";0;1.500.000
"Zarz ą d Dróg i Transportu ";850.282.120;808.173.794;42.108.326;"600 Transport i ł ą czno ść ";807.087.653;39.923.463;"60015 Drogi publiczne w miastach na prawach powiatu (w ";805.987.653;32.575.492;2164002;"Przygotowanie dokumentacji budowy ul. Olechowskiej naodcinku od Zakładowej do ul. Tomaszewskiej 0 ";0;200.000
"Zarz ą d Dróg i Transportu ";850.282.120;808.173.794;42.108.326;"600 Transport i ł ą czno ść ";807.087.653;39.923.463;"60016 Drogi publiczne gminne ";1.100.000;5.283.741;2163781;"Przebudowa ul. Romanowskiej 0";1.000.000;0
"Zarz ą d Dróg i Transportu ";850.282.120;808.173.794;42.108.326;"600 Transport i ł ą czno ść ";807.087.653;39.923.463;"60016 Drogi publiczne gminne ";1.100.000;5.283.741;2163791;"Poło Ŝ enie garbów spowalniaj ą cych na ulicy Sucharskiego 3 i 0 ul. Sucharskiego 2";0;10.000
"Zarz ą d Dróg i Transportu ";850.282.120;808.173.794;42.108.326;"600 Transport i ł ą czno ść ";807.087.653;39.923.463;"60016 Drogi publiczne gminne ";1.100.000;5.283.741;2163811;"Przebudowa ul. Ziołowej - etap I - agorytm i konkurs 0 ";0;1.095.000
"Zarz ą d Dróg i Transportu ";850.282.120;808.173.794;42.108.326;"600 Transport i ł ą czno ść ";807.087.653;39.923.463;"60016 Drogi publiczne gminne ";1.100.000;5.283.741;2163821;"Budowa chodnika w ul. Gimnastycznej - konkurs 0 ";0;900.000
"Zarz ą d Dróg i Transportu ";850.282.120;808.173.794;42.108.326;"600 Transport i ł ą czno ść ";807.087.653;39.923.463;"60016 Drogi publiczne gminne ";1.100.000;5.283.741;2163931;"Opracowanie dokumentacji projektowej na przebudow ę ul. 0 Podchor ąŜ ych na odcinku od rzeki Jasieniec do ul. Legnickiej";100.000;0
"Zarz ą d Dróg i Transportu ";850.282.120;808.173.794;42.108.326;"600 Transport i ł ą czno ść ";807.087.653;39.923.463;"60016 Drogi publiczne gminne ";1.100.000;5.283.741;2187181;"Dokumentacja projektowa na budow ę ul. Szarotki - algorytm 0 ";0;50.000
"Zarz ą d Dróg i Transportu ";850.282.120;808.173.794;42.108.326;"600 Transport i ł ą czno ść ";807.087.653;39.923.463;"60016 Drogi publiczne gminne ";1.100.000;5.283.741;2187251;"Budowa miejsc postojowych na ul. Gandhiego 15-21 -algorytm 0 ";0;30.000
"Zarz ą d Dróg i Transportu ";850.282.120;808.173.794;42.108.326;"600 Transport i ł ą czno ść ";807.087.653;39.923.463;"60016 Drogi publiczne gminne ";1.100.000;5.283.741;2187261;"Budowa chodnika w ul. Kolarskiej - algorytm 0 ";0;43.000
"Zarz ą d Dróg i Transportu ";850.282.120;808.173.794;42.108.326;"600 Transport i ł ą czno ść ";807.087.653;39.923.463;"60016 Drogi publiczne gminne ";1.100.000;5.283.741;2187331;"Koziny na rowery czyli mini parking rowerowy dla „Sze ś ciu 0 Wie Ŝ "" - bud Ŝ et obywatelski";0;6.741
"Zarz ą d Dróg i Transportu ";850.282.120;808.173.794;42.108.326;"600 Transport i ł ą czno ść ";807.087.653;39.923.463;"60016 Drogi publiczne gminne ";1.100.000;5.283.741;2187371;"Modernizacja ul. Młynarskiej od ul. Zofii do ul. Pasterskiej wrazz dobudow 0 ą i modernizacj ą chodników oraz zagospodarowaniem cz ęś ci działki przedszkolnej";0;200.000
"Zarz ą d Dróg i Transportu ";850.282.120;808.173.794;42.108.326;"600 Transport i ł ą czno ść ";807.087.653;39.923.463;"60016 Drogi publiczne gminne ";1.100.000;5.283.741;2187381;"Budowa i modernizacja chodników wokół SzkołyPodstawowej nr 199 przy ul. Elsnera 0 200.000";8;0
"Zarz ą d Dróg i Transportu ";850.282.120;808.173.794;42.108.326;"600 Transport i ł ą czno ść ";807.087.653;39.923.463;"60016 Drogi publiczne gminne ";1.100.000;5.283.741;2187391;"Zagospodarowanie terenu przed blokiem 447 i 448 przy ul.Adwentowicza 6 i ul. Adwentowicza 8 wraz z budow 0 ą miejsc parkingowych";0;337.000
"Zarz ą d Dróg i Transportu ";850.282.120;808.173.794;42.108.326;"600 Transport i ł ą czno ść ";807.087.653;39.923.463;"60016 Drogi publiczne gminne ";1.100.000;5.283.741;2187421;"Przebudowa ul. Kujawskiej 0 ";0;1.300.000
"Zarz ą d Dróg i Transportu ";850.282.120;808.173.794;42.108.326;"600 Transport i ł ą czno ść ";807.087.653;39.923.463;"60016 Drogi publiczne gminne ";1.100.000;5.283.741;2192911;"Wykonanie zatoki parkingowej w ul. Długosza 0 ";0;152.000
"Zarz ą d Dróg i Transportu ";850.282.120;808.173.794;42.108.326;"600 Transport i ł ą czno ść ";807.087.653;39.923.463;"60016 Drogi publiczne gminne ";1.100.000;5.283.741;2192931;"Budowa ul. Poniatowskiego 0 ";0;960.000
"Zarz ą d Dróg i Transportu ";850.282.120;808.173.794;42.108.326;"600 Transport i ł ą czno ść ";807.087.653;39.923.463;"60017 Drogi wewn ę trzne 0 ";0;2.064.230;2163871;"Budowa poł ą czenia ul. Nurta - Kaszy ń skiego z ul. 0 Przybyszewskiego - drogi dojazdowej do osiedlamieszkaniowego";0;500.000
"Zarz ą d Dróg i Transportu ";850.282.120;808.173.794;42.108.326;"600 Transport i ł ą czno ść ";807.087.653;39.923.463;"60017 Drogi wewn ę trzne 0 ";0;2.064.230;2187351;"Remont drogi dojazdowej do ul. Puszkina z ul. ks. Wujaka-remont parkingów, remont chodników, zmiana organizacjiruchu, wyniesione przej 0 ś cie dla pieszych - bud Ŝ et obywatelski";0;165.000
"Zarz ą d Dróg i Transportu ";850.282.120;808.173.794;42.108.326;"600 Transport i ł ą czno ść ";807.087.653;39.923.463;"60017 Drogi wewn ę trzne 0 ";0;2.064.230;2187401;"Wykonanie nawierzchni asfaltowej na ul Tołstoja 0 ";0;350.000
"Zarz ą d Dróg i Transportu ";850.282.120;808.173.794;42.108.326;"600 Transport i ł ą czno ść ";807.087.653;39.923.463;"60017 Drogi wewn ę trzne 0 ";0;2.064.230;2192901;"Przygotowanie dokumentacji projektowej oraz wykonaniechodnika wzdłu 0 Ŝ ul. Grabie ń skiej";0;950.000
"Zarz ą d Dróg i Transportu ";850.282.120;808.173.794;42.108.326;"600 Transport i ł ą czno ść ";807.087.653;39.923.463;"60017 Drogi wewn ę trzne 0 ";0;2.064.230;2192921;"Wykonanie projektu przedłu Ŝ enia ul. P. Ponurego do ul. 0 Przybyszewskiego";0;60.000
"Zarz ą d Dróg i Transportu ";850.282.120;808.173.794;42.108.326;"600 Transport i ł ą czno ść ";807.087.653;39.923.463;"60017 Drogi wewn ę trzne 0 ";0;2.064.230;2192941;"Ustawienie separatorów oraz ustawienie stojakówrowerowych w okolicy SP nr 0 39.230";162;0
"Zarz ą d Dróg i Transportu ";850.282.120;808.173.794;42.108.326;"900 Gospodarka komunalna i ochrona rodowiska ś ";1.086.141;2.184.863;"90015 O ś wietlenie ulic, placów i dróg ";1.086.141;1.874.863;2163592;"Budowa sygnalizacji ś wietlnej Strykowska - Jarowa 0 ";0;200.000
"Zarz ą d Dróg i Transportu ";850.282.120;808.173.794;42.108.326;"900 Gospodarka komunalna i ochrona rodowiska ś ";1.086.141;2.184.863;"90015 O ś wietlenie ulic, placów i dróg ";1.086.141;1.874.863;2163891;"Budowa o ś wietlenia ulic: ul. Niemena, ul. Braci Masłochów i 0 ul. Flandryjskiej - konkurs";0;400.000
"Zarz ą d Dróg i Transportu ";850.282.120;808.173.794;42.108.326;"900 Gospodarka komunalna i ochrona rodowiska ś ";1.086.141;2.184.863;"90015 O ś wietlenie ulic, placów i dróg ";1.086.141;1.874.863;2187141;"Modernizacja o ś wietlenia - SOWA 0";1.086.141;0
"Zarz ą d Dróg i Transportu ";850.282.120;808.173.794;42.108.326;"900 Gospodarka komunalna i ochrona rodowiska ś ";1.086.141;2.184.863;"90015 O ś wietlenie ulic, placów i dróg ";1.086.141;1.874.863;2187191;"Budowa o ś wietlenia ul. Podle ś ne j - algorytm 0 ";0;26.985
"Zarz ą d Dróg i Transportu ";850.282.120;808.173.794;42.108.326;"900 Gospodarka komunalna i ochrona rodowiska ś ";1.086.141;2.184.863;"90015 O ś wietlenie ulic, placów i dróg ";1.086.141;1.874.863;2187201;"Budowa o ś wietlenia ul. Szuwarowej - algorytm 0 ";0;19.170
"Zarz ą d Dróg i Transportu ";850.282.120;808.173.794;42.108.326;"900 Gospodarka komunalna i ochrona rodowiska ś ";1.086.141;2.184.863;"90015 O ś wietlenie ulic, placów i dróg ";1.086.141;1.874.863;2187211;"Budowa o ś wietlenia ul. Tczewskiej na odc. od ul. 0 Ciechoci ń skiej do ul. Ku ź niczej- algorytm";0;58.329
"Zarz ą d Dróg i Transportu ";850.282.120;808.173.794;42.108.326;"900 Gospodarka komunalna i ochrona rodowiska ś ";1.086.141;2.184.863;"90015 O ś wietlenie ulic, placów i dróg ";1.086.141;1.874.863;2187221;"Budowa o ś wietlenia ul. Taterniczej - algorytm 0 ";0;29.379
"Zarz ą d Dróg i Transportu ";850.282.120;808.173.794;42.108.326;"900 Gospodarka komunalna i ochrona rodowiska ś ";1.086.141;2.184.863;"90015 O ś wietlenie ulic, placów i dróg ";1.086.141;1.874.863;2187231;"Aktualizacja dokumentacji projektowej na budow ę o ś wietlenia 0 ul. Zamiejskiej - algorytm";0;15.000
"Zarz ą d Dróg i Transportu ";850.282.120;808.173.794;42.108.326;"900 Gospodarka komunalna i ochrona rodowiska ś ";1.086.141;2.184.863;"90015 O ś wietlenie ulic, placów i dróg ";1.086.141;1.874.863;2187241;"Dokumentacja projektowa na budow ę o ś wietlenia w ul. 0 Lewarowej - algorytm";0;26.000
"Zarz ą d Dróg i Transportu ";850.282.120;808.173.794;42.108.326;"900 Gospodarka komunalna i ochrona rodowiska ś ";1.086.141;2.184.863;"90015 O ś wietlenie ulic, placów i dróg ";1.086.141;1.874.863;2187411;"Aktualizacja projektu i budowa o ś wietlenia w ul. Malowniczej 0 na odcinku od ul. Rokici ń skiej do ul. Wi ą czy ń skiej";0;1.100.000
"Zarz ą d Dróg i Transportu ";850.282.120;808.173.794;42.108.326;"900 Gospodarka komunalna i ochrona rodowiska ś ";1.086.141;2.184.863;"90095 Pozostała działalno ść 0 ";0;310.000;2187321;"Zakup oraz monta Ŝ elektronicznych tablic informuj ą cych o 0 czasie przyjazdu tramwajów - bud Ŝ et obywatelski";0;310.000
"Zarz d Nowego Centrum Łodzi ą";3.797.000;1.597.000;2.200.000;"710 Działalno ść usługowa ";1.597.000;2.200.000;"71095 Pozostała działalno ść ";1.597.000;2.200.000;2182731;"Specjalna Strefa Kultury - prace przygotowawcze idokumentacyjne 0";1.197.000;0
"Zarz d Nowego Centrum Łodzi ą";3.797.000;1.597.000;2.200.000;"710 Działalno ść usługowa ";1.597.000;2.200.000;"71095 Pozostała działalno ść ";1.597.000;2.200.000;2182751;"Opracowanie koncepcji realizacyjnej systemu monitoringu,bezpiecze 0 ń stwa oraz platformy wdra Ŝ ania usług typu ""inteligent city"" dla obszaru Nowego Centrum Łodzi";0;400.000
"Zarz d Nowego Centrum Łodzi ą";3.797.000;1.597.000;2.200.000;"710 Działalno ść usługowa ";1.597.000;2.200.000;"71095 Pozostała działalno ść ";1.597.000;2.200.000;2187941;"Zakup, instalacja i wdo Ŝ enie Systemu Prowadzenia Projektów 0 i Koordynacji Działa ń w obszarze NCŁ (Program Nowe Centrum Łodzi)";400.000;0
"Zarz d Nowego Centrum Łodzi ą";3.797.000;1.597.000;2.200.000;"710 Działalno ść usługowa ";1.597.000;2.200.000;"71095 Pozostała działalno ść ";1.597.000;2.200.000;2187951;"Rewitalizacja ul. Moniuszki (pasa Ŝ u Meyera) - Etap I - prace 0 przygotowawcze";0;800.000
"Zarz d Nowego Centrum Łodzi ą";3.797.000;1.597.000;2.200.000;"710 Działalno ść usługowa ";1.597.000;2.200.000;"71095 Pozostała działalno ść ";1.597.000;2.200.000;2187961;"Makieta Nowego Centrum Łodzi 0 ";0;100.000
"Zarz d Nowego Centrum Łodzi ą";3.797.000;1.597.000;2.200.000;"710 Działalno ść usługowa ";1.597.000;2.200.000;"71095 Pozostała działalno ść ";1.597.000;2.200.000;2187971;"Master Plan dla realizacji Programu Nowe Centrum Łodzi 0 ";0;900.000
"Zarz ą d Zieleni Miejskiej ";6.864.879;2.323.540;4.541.339;"900 Gospodarka komunalna i ochrona ś rodowiska ";1.823.540;4.391.339;"90004 Utrzymanie zieleni w miastach i gminach ";1.823.540;4.391.339;2181281;"Renowacja stawów w Parku Helenów 0";460.000;0
"Zarz ą d Zieleni Miejskiej ";6.864.879;2.323.540;4.541.339;"900 Gospodarka komunalna i ochrona ś rodowiska ";1.823.540;4.391.339;"90004 Utrzymanie zieleni w miastach i gminach ";1.823.540;4.391.339;2181411;"Rewaloryzacja Parku Ź ródliska I w Łodzi 0";793.540;0
"Zarz ą d Zieleni Miejskiej ";6.864.879;2.323.540;4.541.339;"900 Gospodarka komunalna i ochrona ś rodowiska ";1.823.540;4.391.339;"90004 Utrzymanie zieleni w miastach i gminach ";1.823.540;4.391.339;2181461;"Rewitalizacja Parku im. Wł. Reymonta 0";570.000;0
"Zarz ą d Zieleni Miejskiej ";6.864.879;2.323.540;4.541.339;"900 Gospodarka komunalna i ochrona ś rodowiska ";1.823.540;4.391.339;"90004 Utrzymanie zieleni w miastach i gminach ";1.823.540;4.391.339;2191241;"Prace wst ę pne w zakresie urz ą dzenia Parku Le ś nego im. 0 Armii Łód ź w rejonie ul. Zagonowej i ul. Kujawskiej w Łodzi - algorytm";0;28.908
"Zarz ą d Zieleni Miejskiej ";6.864.879;2.323.540;4.541.339;"900 Gospodarka komunalna i ochrona ś rodowiska ";1.823.540;4.391.339;"90004 Utrzymanie zieleni w miastach i gminach ";1.823.540;4.391.339;2191251;"Wykonanie alejki z kostki brukowej w Parku Jana Kili ń skiego w 0 Łodzi - algorytm";0;51.571
"Zarz ą d Zieleni Miejskiej ";6.864.879;2.323.540;4.541.339;"900 Gospodarka komunalna i ochrona ś rodowiska ";1.823.540;4.391.339;"90004 Utrzymanie zieleni w miastach i gminach ";1.823.540;4.391.339;2191261;"II etap budowy siłowni na ś wie Ŝ ym powietrzu w Parku im. A. 0 Mickiewicza - algorytm";0;25.000
"Zarz ą d Zieleni Miejskiej ";6.864.879;2.323.540;4.541.339;"900 Gospodarka komunalna i ochrona ś rodowiska ";1.823.540;4.391.339;"90004 Utrzymanie zieleni w miastach i gminach ";1.823.540;4.391.339;2191271;"Rewitalizacja boiska przy ul. Pszczelej i Jaskółczej - algorytm 0 ";0;45.860
"Zarz ą d Zieleni Miejskiej ";6.864.879;2.323.540;4.541.339;"900 Gospodarka komunalna i ochrona ś rodowiska ";1.823.540;4.391.339;"90004 Utrzymanie zieleni w miastach i gminach ";1.823.540;4.391.339;2191281;"Wykonanie instalacji o ś wietlenia ziele ń ca przy ul. Wile ń skiej 0 57 - algorytm i konkurs";0;60.000
"Zarz ą d Zieleni Miejskiej ";6.864.879;2.323.540;4.541.339;"900 Gospodarka komunalna i ochrona ś rodowiska ";1.823.540;4.391.339;"90004 Utrzymanie zieleni w miastach i gminach ";1.823.540;4.391.339;2191291;"Zagospodarowanie cz ęś ci nieruchomo ś ci poło Ŝ onej przy ul. 0 Łososiowej 21 z przeznaczeniem na tereny zielono -rekreacyjne - konkurs";0;500.000
"Zarz ą d Zieleni Miejskiej ";6.864.879;2.323.540;4.541.339;"900 Gospodarka komunalna i ochrona ś rodowiska ";1.823.540;4.391.339;"90004 Utrzymanie zieleni w miastach i gminach ";1.823.540;4.391.339;2191301;"Rewitalizacja parku Podolskiego na osiedlach Zarzew iD 0 ą browa - budowa placu zabaw, dodatkowe nasadzenia i ławki";0;500.000
"Zarz ą d Zieleni Miejskiej ";6.864.879;2.323.540;4.541.339;"900 Gospodarka komunalna i ochrona ś rodowiska ";1.823.540;4.391.339;"90004 Utrzymanie zieleni w miastach i gminach ";1.823.540;4.391.339;2191371;"Wykonanie nawierzchni do gier zespołowych (koszykowka,piłka r 0 ę czna i no Ŝ na) na istniej ą cym klepisku z dwoma koszami w parku im. A. Mickiewicza";0;100.000
"Zarz ą d Zieleni Miejskiej ";6.864.879;2.323.540;4.541.339;"900 Gospodarka komunalna i ochrona ś rodowiska ";1.823.540;4.391.339;"90004 Utrzymanie zieleni w miastach i gminach ";1.823.540;4.391.339;2191381;"Modernizacja ci ą gów pieszych w parku im. A. Struga przy ul. 0 S ę dziowskiej";0;280.000
"Zarz ą d Zieleni Miejskiej ";6.864.879;2.323.540;4.541.339;"900 Gospodarka komunalna i ochrona ś rodowiska ";1.823.540;4.391.339;"90004 Utrzymanie zieleni w miastach i gminach ";1.823.540;4.391.339;2191601;"Rewitalizacja parku S. ś eromskiego - bud Ŝ et obywatelski 0 ";0;935.000
"Zarz ą d Zieleni Miejskiej ";6.864.879;2.323.540;4.541.339;"900 Gospodarka komunalna i ochrona ś rodowiska ";1.823.540;4.391.339;"90004 Utrzymanie zieleni w miastach i gminach ";1.823.540;4.391.339;2191691;"Rewitalizacja Parku im. Mickiewicza (Julianowskiego) - bud Ŝ et 0 obywatelski";0;750.000
"Zarz ą d Zieleni Miejskiej ";6.864.879;2.323.540;4.541.339;"900 Gospodarka komunalna i ochrona ś rodowiska ";1.823.540;4.391.339;"90004 Utrzymanie zieleni w miastach i gminach ";1.823.540;4.391.339;2191701;"Budowa o ś wietlenia w Parku na Zdrowiu - bud Ŝ et 0 obywatelski";0;930.000
"Zarz ą d Zieleni Miejskiej ";6.864.879;2.323.540;4.541.339;"900 Gospodarka komunalna i ochrona ś rodowiska ";1.823.540;4.391.339;"90004 Utrzymanie zieleni w miastach i gminach ";1.823.540;4.391.339;2191711;"Budowa placu zabaw w pasa Ŝ u Rubinsteina - bud Ŝ et 0 obywatelski";0;185.000
"Zarz ą d Zieleni Miejskiej ";6.864.879;2.323.540;4.541.339;"925 Ogrody botaniczne i zoologiczne oraz naturalneobszary i obiekty chronionej przyrody . ";500.000;150.000;"92504 Ogrody botaniczne i zoologiczne ";500.000;150.000;2191491;"Budowa wewn ę trznej instalacji wodoci ą gowej na terenie 0 Ogrodu Botanicznego";0;150.000
"Zarz ą d Zieleni Miejskiej ";6.864.879;2.323.540;4.541.339;"925 Ogrody botaniczne i zoologiczne oraz naturalneobszary i obiekty chronionej przyrody . ";500.000;150.000;"92504 Ogrody botaniczne i zoologiczne ";500.000;150.000;2191531;"Budowa Felidarium - polepszenie warunków bytowychpanter 0 ś nie Ŝ nych i stworzenie ekspozycji nowych gatunków";500.000;0
